rel_path,subject,ext,state,output_ref,tool,note,updated_at
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第5节 函数的对称性及应用.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第6节 幂函数与二次函数.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第7节 指数与对数的运算.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第8节 指数函数.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第9节 对数函数.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/多选题加练(五)　平面向量.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第1节　平面向量的概念及线性运算.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第2节　平面向量基本定理及坐标表示.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第3节　平面向量的数量积及其应用.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/第4节　复数.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第五章　平面向量、复数/课堂笔记.pdf,MATH,.pdf,PENDING_SCANNED,,init,扫描件，需视觉转写,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第八章　平面解析几何/多选题加练(八)　平面解析几何.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
